seed,ref,order,rec_buried,rec_exposed,rec_diff,command
1,2,burial_first,0.8139534592628479,0.9777777791023254,-0.16382431983947754,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,2,anti_burial,0.8837209343910217,0.9777777791023254,-0.09405684471130371,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,2,random,0.8139534592628479,0.9555555582046509,-0.14160209894180298,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,3,purity,0.7755101919174194,0.9347826242446899,-0.1592724323272705,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,3,burial_first,0.7755101919174194,0.95652174949646,-0.18101155757904053,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,3,anti_burial,0.7755101919174194,0.95652174949646,-0.18101155757904053,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,3,random,0.7755101919174194,0.9347826242446899,-0.1592724323272705,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,4,purity,0.8936169743537903,0.8958333730697632,-0.0022163987159729004,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,4,burial_first,0.8085106015205383,0.8541666865348816,-0.04565608501434326,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
1,4,anti_burial,0.8723403811454773,0.8958333730697632,-0.02349299192428589,"python3 src/expB_ordering.py --n-ref 8 --t0 0.5 --seeds 0,1,2 --length 128 --num-timesteps 200 --out results/expB_ordering.csv"
